Overview,website,Firm_name,Category,Industries,teams
"Investment firm founded by professional with experience in consulting and private equity investment experience at Bain & Co, Bain Capital, and Sycamore Partners. Focused on lower middle market investments.",http://www.rodellocapital.com,Rodello Capital,PE,"Aerospace & Defense,Building Products,Construction & Engineering,Electrical Components & Equipment,Heavy Electrical Equipment,Industrial Conglomerates,Construction & Farm Machinery & Heavy Trucks,Industrial Machinery & Equipment,Trading Companies & Distributors,Safety Equipment,Third Party Logistics (3PL),Air Freight & Logistics,Airlines,Marine Shipping,Railroads,Trucking,Airport Services,Highways & Railtracks,Marine Ports & Services,Third Party Logistics (3PL),Food Distributors,Trading Companies & Distributors,Technology Distributors,Air Freight & Logistics,Marine Shipping,Trucking,Health Care Distributors,Retail Distributors,Casino & Gaming Operators,Hotel, Resort & Cruise Line Operators,Leisure Facilities,Restaurants,Education Services,Specialized Consumer Services,Apparel Retail,Computer & Electronics Retail,Home Improvement Retail,Specialty Stores,Automotive Retail,Homefurnishing Retail,Drug Retail,Food Retail,Hypermarkets & Super Centers,Retail Distributors,Catalog Retail,Internet Retail,Department Stores,General Merchandise Stores,Consumer Electronics,Home Furnishings,Homebuilding,Household Appliances,Housewares & Specialties,Leisure Products,Photographic Products,Apparel, Accessories & Luxury Goods,Footwear,Textiles,Household Products,Personal Products,Brewers,Distillers & Vintners,Soft Drinks,Agricultural Products,Packaged Foods & Meats,Tobacco,Auto Parts & Accessories,Tires & Rubber","[[{'first_name': 'Alim', 'last_name': 'Manji', 'title': 'Managing Partner'}]]"
"Making communities a place to dream again<br><br>The mission of the EEI Fund is to provide flexible, affordable and responsible financing and franchise development for community stabilization and retail development efforts that benefit low-to-moderate income neighborhoods throughout the United States.",http://epicimpactfund.com,The EEI Fund,PE,"Diversified Real Estate Activities,Real Estate Development,Food Retail","[[{'first_name': 'Jerry', 'last_name': 'McGaughy', 'title': ''}]]"
"Nesta.Co is a private equity firm focused on the U.S. Cannabis industry.<br><br>Nesta was founded by Chuck Rifici, the co-founder of Canopy Growth Corp. (CGC:TSX) the largest medicinal marijuana grow operation in North America.",http://www.nesta.co,Nesta Holding Co.,PE,"Internet Software & Services,Agricultural Products,Tobacco","[[{'first_name': 'Manoj', 'last_name': 'Hippola', 'title': ''}], [{'first_name': 'Angelo', 'last_name': 'Psellas', 'title': ''}], [{'first_name': 'Michael', 'last_name': 'Pigozzo', 'title': ''}]]"
"<p>We believe in the products that enhance lives, bring people together, and nourish. At Charis Consumer Partners (CCP), we invest in makers - brands who manufacture, contract manufacturers, and private label manufacturers. The common denominator: our partner companies make great packaged goods. We add value by leveraging our deep commercial and operating backgrounds and network to ignite growth and build sustainable competitive advantage that delivers step change EBITDA growth. Our approach is values driven, transparent and collaborative with a roll up your sleeve’s style of partnership with management to build enduring purpose driven enterprises. </p>",http://charisconsumerpartners.com,Charis Consumer Partners,PE,"Household Products,Personal Products,Brewers,Distillers & Vintners,Soft Drinks,Agricultural Products,Packaged Foods & Meats,Tobacco","[[{'first_name': 'Ben', 'last_name': 'Rudman', 'title': ''}], [{'first_name': 'Ken', 'last_name': 'Plasse', 'title': 'Partner'}]]"
"<p>Saroras focuses on investments in growing middle market software and technology enabled services companies and looks to partner with management teams to build industry-leading businesses. Sectors in which Saroras seeks investments include data-driven analytics and insights, marketing services, supply chain technology, payments and financial technology. Our team works to identify businesses with growing end markets, strong secular tail winds, revenue predictability, profitable unit economics, and operating leverage.</p><p><br></p><p>The Saroras team has a long history working together and collectively has invested over $5 billion of capital in our industries of focus in a variety of transaction types and structures.&nbsp;Our domain expertise allows us to:</p><ul><li>Identify, source, and diligence new investment opportunities efficiently&nbsp;</li><li>Develop strategies to operate and grow our businesses</li><li>Attract world class management teams</li></ul>",https://saroras.com/,SARORAS Private Capital,PE,"Digital & Social Media,Advertising,Health Care Technology,Financial Technology,Third Party Logistics (3PL),Air Freight & Logistics,Application Software,Systems Software,Financial Technology,Health Care Technology,Internet Software & Services,Data Processing & Outsourced Services,Advertising,Human Resource & Employment Services,Research & Consulting Services,IT Consulting & Other Services","[[{'first_name': 'Oliver', 'last_name': 'Patten', 'title': 'Senior Associate'}], [{'first_name': 'John', 'last_name': 'Almeida', 'title': 'Managing Partner'}], [{'first_name': 'Chris', 'last_name': 'Mitchell', 'title': ''}]]"
"LTX Ventures, LLP is a strategic equity capital provider empowering leaders to develop businesses globally. We are based in Texas, but partner with companies around the world. We aim to work with teammates who are passionate about innovation and who seek to make a positive impact on the broader community.<br><br>Our partners have managed transactions from $5 million to over $5 billion. LTX partners have significant experience in technology, healthcare, consulting, industrials, and various other industries. We are excited about the opportunity to partner with you, and the chance to make a positive impact.",https://www.ltxventures.com/,LTX Ventures,PE,"Aerospace & Defense,Financial Technology,Health Care Technology,Internet Software & Services,Data Processing & Outsourced Services,Environmental & Facilities Services,Office Services & Supplies,Security & Alarm Services,Marine Ports & Services,Construction Materials,Metal, Glass & Plastic Containers,Fertilizers & Agricultural Chemicals,Industrial Gases,Specialty Chemicals,Commodity Chemicals,Diversified Chemicals,Health Care Equipment,Health Care Supplies,Health Care Distributors,Health Care Services,Health Care Facilities,Health Care Technology,Biotechnology,Life Sciences Tools & Services,Building Products,Construction & Engineering,Electrical Components & Equipment,Heavy Electrical Equipment,Industrial Conglomerates,Construction & Farm Machinery & Heavy Trucks,Industrial Machinery & Equipment,Trading Companies & Distributors,Safety Equipment,Third Party Logistics (3PL),Air Freight & Logistics,Airlines,Marine Shipping,Railroads,Trucking,Airport Services,Highways & Railtracks,Marine Ports & Services,Financial Technology,Third Party Logistics (3PL),Technology Distributors,Air Freight & Logistics,Health Care Distributors,Automobile Manufacturers,Aerospace & Defense,Building Products,Heavy Electrical Equipment,Construction & Farm Machinery & Heavy Trucks,Industrial Machinery & Equipment,Electronic Manufacturing Services,Construction Materials,Health Care Equipment,Computer Storage & Peripherals,Photographic Products,Apparel, Accessories & Luxury Goods,Personal Products,Office Electronics,Health Care Supplies,Metal, Glass & Plastic Containers,Safety Equipment,Application Software,Systems Software,Home Entertainment Software","[[{'first_name': 'Sam', 'last_name': 'Scherer', 'title': 'Co-Founder'}], [{'first_name': 'Matthew', 'last_name': 'Landon', 'title': ''}]]"
"<p>Lincoln Road Global Management, LLC (“Lincoln Road”) is a private equity firm focused on investing in market leading businesses. Our goal with every investment is to work in close collaboration with management, stakeholders, and operating partners in order to help these businesses achieve operational excellence and unlock the next phase of growth. As a result, we position our companies to enjoy long-term success well into the future.</p>",http://www.lincolnroadmgmt.com/,Lincoln Road Global Management,PE,"Food Retail,Retail Distributors,Internet Retail,Consumer Electronics,Household Appliances,Housewares & Specialties,Apparel, Accessories & Luxury Goods,Textiles,Household Products,Personal Products,Brewers,Distillers & Vintners,Soft Drinks,Agricultural Products,Packaged Foods & Meats,Auto Parts & Accessories,Tires & Rubber,Aerospace & Defense,Building Products,Electrical Components & Equipment,Heavy Electrical Equipment,Industrial Conglomerates,Construction & Farm Machinery & Heavy Trucks,Industrial Machinery & Equipment,Trading Companies & Distributors,Safety Equipment,Third Party Logistics (3PL),Air Freight & Logistics,Airlines,Marine Shipping,Railroads,Airport Services,Highways & Railtracks,Marine Ports & Services,Alternative Energy Production,Alternative Energy Distribution,Water Utilities,Independent Power Producers & Energy Traders,Electric Utilities,Gas Utilities,Multi-Utilities,Credit & Debit Card Issuers,Mortgage Processors & Servicers,Payday Lenders,Insurance Brokers,Life & Health Insurance,Multi-line Insurance,Property & Casualty Insurance,Reinsurance,Third Party Logistics (3PL),Food Distributors,Trading Companies & Distributors,Technology Distributors,Air Freight & Logistics,Marine Shipping,Health Care Distributors,Retail Distributors,Automobile Manufacturers,Motorcycle Manufacturers,Aerospace & Defense,Building Products,Heavy Electrical Equipment,Construction & Farm Machinery & Heavy Trucks,Industrial Machinery & Equipment,Electronic Manufacturing Services,Construction Materials,Health Care Equipment,Consumer Electronics,Computer Storage & Peripherals,Apparel, Accessories & Luxury Goods,Textiles,Personal Products,Office Electronics,Auto Parts & Accessories,Paper Packaging,Health Care Supplies,Paper Products,Metal, Glass & Plastic Containers,Safety Equipment,Forest Products,Tires & Rubber,Electrical Components & Equipment,Computer Hardware,Computer Storage & Peripherals,Electronic Equipment & Instruments ,Electronic Components,Electronic Manufacturing Services,Technology Distributors,Semiconductor Equipment ,Semiconductors,Communications Equipment,Data Processing & Outsourced Services,Advertising,Environmental & Facilities Services,Office Services & Supplies,Diversified Support Services,Security & Alarm Services,Human Resource & Employment Services,Research & Consulting Services,Airport Services,Marine Ports & Services,Commercial Printing,IT Consulting & Other Services,Forest Products,Paper Products,Construction Materials,Metal, Glass & Plastic Containers,Paper Packaging,Fertilizers & Agricultural Chemicals,Industrial Gases,Specialty Chemicals,Commodity Chemicals,Diversified Chemicals,Nonmetallic Mineral Mining & Quarrying,Aluminum Products,Metal Ore Mining,Gold Products,Other Metal & Mineral Products,Steel Products,Leisure Facilities,Education Services,Specialized Consumer Services,Alternative Carriers,Integrated Telecommunication Services,Wireless Telecommunication Services,Health Care Equipment,Health Care Supplies,Health Care Distributors,Health Care Services,Health Care Facilities,Managed Health Care,Health Care Technology,Automotive Retail,Drug Retail","[[{'first_name': 'Jagrit', 'last_name': 'Rai', 'title': 'Senior Associate'}], [{'first_name': 'Jeff', 'last_name': 'Magny', 'title': ''}]]"
"<p>With over 30 combined years of experience, we have developed a keen eye for the best use of our capital. We find values that others missed. Our team of professionals has vast experience in industrial, business services and consumer sectors. We have a reputation for successfully invest and exit while preserving capital in a downturn. Our other experiences include land development, aggregate mining, timber management, residential housing, commercial real estate, property management and real estate M&A. Among all entities, we have eclipsed 1000 transactions. With our comprehensive experience, proven track record and partnership approach, there is no better partner to rely on than our team.</p><p><br></p><p><strong>Investment Parameters</strong></p><p><em>EBITDA </em>2-20 million</p><p><em>Revenue </em>5-50 million</p><p><em>Enterprise </em>Value 5-50 million</p><p><em>Location</em>: US-based headquarters</p><p><em>Industry:</em> Business Services, Consumer, Education, Industrial, Healthcare, Manufacturing and Distribution</p><p><br></p><p><strong>Investment Philosophy</strong></p><p>We invest in low to mid market business with defensible position and strong value proposition. We pursue majority equity investment to support management buyout, to back an experienced operator, to facilitate family succession and help owners recap the value of their business.</p><p><br></p><p>We seek to partner with owners / operators and enable them with capital and resources to maximize operation. We're ready to roll up our sleeves and work hand-in-hand with the management team to initiate and implement value-add projects.</p>",www.abacusinvestments.com,Abacus Investments,PE,"Building Products,Personal Products,Office Electronics,Auto Parts & Accessories,Paper Packaging,Health Care Supplies,Paper Products,Metal, Glass & Plastic Containers,Safety Equipment,Tires & Rubber,Construction & Engineering,Electrical Components & Equipment,Heavy Electrical Equipment,Industrial Conglomerates,Construction & Farm Machinery & Heavy Trucks,Steel Products,Leisure Facilities,Restaurants,Industrial Machinery & Equipment,Trading Companies & Distributors,Safety Equipment,Third Party Logistics (3PL),Air Freight & Logistics,Trucking,Third Party Logistics (3PL),Food Distributors,Trading Companies & Distributors,Technology Distributors,Air Freight & Logistics,Marine Shipping,Trucking,Health Care Distributors,Retail Distributors,Automobile Manufacturers,Motorcycle Manufacturers,Building Products,Heavy Electrical Equipment,Construction & Farm Machinery & Heavy Trucks,Data Processing & Outsourced Services,Advertising,Payment Processors,Environmental & Facilities Services,Office Services & Supplies,Diversified Support Services,Security & Alarm Services,Human Resource & Employment Services,Research & Consulting Services,Airport Services,Marine Ports & Services,Commercial Printing,IT Consulting & Other Services,Forest Products,Paper Products,Construction Materials,Metal, Glass & Plastic Containers,Paper Packaging,Fertilizers & Agricultural Chemicals,Industrial Gases,Specialty Chemicals,Commodity Chemicals,Diversified Chemicals,Nonmetallic Mineral Mining & Quarrying,Aluminum Products,Metal Ore Mining,Gold Products,Other Metal & Mineral Products,Footwear,Textiles,Household Products,Personal Products,Brewers,Distillers & Vintners,Soft Drinks,Agricultural Products,Packaged Foods & Meats,Auto Parts & Accessories,Tires & Rubber,Education Services,Specialized Consumer Services,Home Furnishings,Homebuilding,Housewares & Specialties,Leisure Products,Apparel, Accessories & Luxury Goods,Industrial Machinery & Equipment,Electronic Manufacturing Services,Construction Materials,Health Care Equipment,Consumer Electronics,Computer Storage & Peripherals,Photographic Products,Apparel, Accessories & Luxury Goods,Textiles","[[{'first_name': 'Dan', 'last_name': 'Nguyen', 'title': ''}], [{'first_name': 'Robert', 'last_name': 'Israel', 'title': 'Partner'}]]"
"<p>We are passionate about improving the value and performance of your business. We've started companies, managed operations, made acquisitions, sold businesses, and learned plenty of valuable lessons along the way. </p><p><br></p><p>Whether you are looking for a partner to help you grow your business, or someone to step in so you can take a step back, give us a call. We invest in businesses to help them grow, and hold for the long-term. Since we don’t raise blind pooled funds, we can seek out co-investors that have capital, experience, and expertise in your industry. Plus, with no arbitrary timelines to exit our investments, we have the patience and understanding to create value for the long haul.</p>",https://www.valedorpartners.com/,"Valedor Partners, LLC",PE,"Aerospace & Defense,Building Products,Construction & Engineering,Electrical Components & Equipment,Heavy Electrical Equipment,Industrial Conglomerates,Construction & Farm Machinery & Heavy Trucks,Industrial Machinery & Equipment,Trading Companies & Distributors,Safety Equipment,Third Party Logistics (3PL),Air Freight & Logistics,Airlines,Marine Shipping,Railroads,Trucking,Airport Services,Highways & Railtracks,Marine Ports & Services,Other Diversified Financial Services,Specialized Finance,Financial Technology,Third Party Logistics (3PL),Food Distributors,Trading Companies & Distributors,Technology Distributors,Air Freight & Logistics,Marine Shipping,Trucking,Health Care Distributors,Retail Distributors,Building Products,Industrial Machinery & Equipment,Electronic Manufacturing Services,Construction Materials,Apparel, Accessories & Luxury Goods,Textiles,Personal Products,Health Care Supplies,Paper Products,Metal, Glass & Plastic Containers,Safety Equipment,Tires & Rubber,Electrical Components & Equipment,Electronic Equipment & Instruments ,Electronic Manufacturing Services,Technology Distributors,Application Software,Home Entertainment Software,Financial Technology,Health Care Technology,Internet Software & Services,Data Processing & Outsourced Services,Payment Processors,Environmental & Facilities Services,Airport Services,Marine Ports & Services,Construction Materials,Metal, Glass & Plastic Containers,Paper Packaging,Industrial Gases,Specialty Chemicals,Diversified Chemicals,Leisure Facilities,Education Services,Alternative Carriers,Integrated Telecommunication Services,Wireless Telecommunication Services,Digital & Social Media,Movies & Entertainment,Publishing,Advertising,Health Care Equipment,Health Care Supplies,Health Care Distributors,Health Care Services,Health Care Facilities,Managed Health Care,Health Care Technology,Apparel Retail,Specialty Stores,Retail Distributors,Consumer Electronics,Home Furnishings,Homebuilding,Household Appliances,Housewares & Specialties,Leisure Products,Photographic Products,Apparel, Accessories & Luxury Goods,Footwear,Textiles,Household Products,Personal Products,Brewers,Distillers & Vintners,Soft Drinks,Agricultural Products,Packaged Foods & Meats,Nutraceuticals","[[{'first_name': 'Shawn', 'last_name': 'Patterson', 'title': ''}], [{'first_name': 'Jeff', 'last_name': 'Hara', 'title': 'Principal'}], [{'first_name': 'Logan', 'last_name': 'Walters', 'title': ''}]]"
"<p>KV Private Equity Inc. is a private equity fund focused on lower middle-market consumer, retail, oilfield services, industrial and manufacturing businesses primarily in Western Canada. </p><p><br></p><p><br></p><p>Whether you’re looking for a partner, to exit your business, or to preserve your legacy, we’re flexible when it comes to your goals and strategies. Our versatility gives you an optimal structure that easily adapts to your objectives.</p><p><br></p><p><br></p><p>We are transparent in everything we do. Our process is designed to be clear, simple, and efficient, effectively minimizing any disruptions to you, your employees, or your business.</p>",https://kvprivateequity.ca/,KV Private Equity Inc.,PE,"Textiles,Personal Products,Office Electronics,Auto Parts & Accessories,Paper Packaging,Health Care Supplies,Paper Products,Metal, Glass & Plastic Containers,Safety Equipment,Automotive Retail,Homefurnishing Retail,Drug Retail,Food Retail,Hypermarkets & Super Centers,Retail Distributors,Catalog Retail,Internet Retail,Department Stores,General Merchandise Stores,Consumer Electronics,Home Furnishings,Homebuilding,Household Appliances,Housewares & Specialties,Leisure Products,Photographic Products,Apparel, Accessories & Luxury Goods,Footwear,Aerospace & Defense,Building Products,Construction & Engineering,Electrical Components & Equipment,Heavy Electrical Equipment,Industrial Conglomerates,Construction & Farm Machinery & Heavy Trucks,Industrial Machinery & Equipment,Trading Companies & Distributors,Safety Equipment,Third Party Logistics (3PL),Air Freight & Logistics,Airlines,Marine Shipping,Railroads,Trucking,Airport Services,Highways & Railtracks,Marine Ports & Services,Alternative Energy Production,Alternative Energy Distribution,Oil & Gas Drilling,Oil & Gas Equipment & Services,Third Party Logistics (3PL),Food Distributors,Trading Companies & Distributors,Technology Distributors,Air Freight & Logistics,Marine Shipping,Trucking,Health Care Distributors,Retail Distributors,Automobile Manufacturers,Motorcycle Manufacturers,Aerospace & Defense,Building Products,Heavy Electrical Equipment,Construction & Farm Machinery & Heavy Trucks,Industrial Machinery & Equipment,Electronic Manufacturing Services,Construction Materials,Health Care Equipment,Consumer Electronics,Computer Storage & Peripherals,Photographic Products,Apparel, Accessories & Luxury Goods,Textiles,Household Products,Personal Products,Brewers,Distillers & Vintners,Soft Drinks,Agricultural Products,Packaged Foods & Meats,Tobacco,Auto Parts & Accessories,Tires & Rubber,Forest Products,Tires & Rubber,Electrical Components & Equipment,Computer Hardware,Computer Storage & Peripherals,Electronic Equipment & Instruments ,Electronic Components,Electronic Manufacturing Services,Technology Distributors,Semiconductor Equipment ,Semiconductors,Communications Equipment,Application Software,Systems Software,Home Entertainment Software,Financial Technology,Health Care Technology,Internet Software & Services,Data Processing & Outsourced Services,Advertising,Payment Processors,Environmental & Facilities Services,Office Services & Supplies,Diversified Support Services,Security & Alarm Services,Human Resource & Employment Services,Research & Consulting Services,Airport Services,Marine Ports & Services,Commercial Printing,IT Consulting & Other Services,Forest Products,Paper Products,Construction Materials,Metal, Glass & Plastic Containers,Paper Packaging,Fertilizers & Agricultural Chemicals,Industrial Gases,Specialty Chemicals,Commodity Chemicals,Diversified Chemicals,Nonmetallic Mineral Mining & Quarrying,Aluminum Products,Metal Ore Mining,Gold Products,Other Metal & Mineral Products,Steel Products,Casino & Gaming Operators,Hotel, Resort & Cruise Line Operators,Leisure Facilities,Restaurants,Education Services,Specialized Consumer Services,Apparel Retail,Computer & Electronics Retail,Home Improvement Retail,Specialty Stores","[[{'first_name': 'Michael', 'last_name': 'Kaiser', 'title': 'Associate'}]]"
