Plant_name,Light,Water,Fun_Fact,Sad_Plant,image_url
Aglaonema,"Thrives in medium to low indirect sun. Not suited for intense, direct sunlight.","Water every 1-2 weeks, allowing soil to dry out between waterings. Increase frequency with increased light.","The colorful, patterned foliage and easy going nature of Aglaonemas have made them popular among collectors.","Wilting leaves, dry potting mix: Thirsty, underwateredYellowing leaves and mushy blackened base:
Root rot, overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/red-aglaonema_d1699d3a-32a4-4e94-9eb5-3ea1d3af990e_2048x2048.png?v=1601397219
Air Plant,"Thrives in bright indirect light. Keep smaller air plants out of intense, direct sun.",Soak weekly in a bowl of room temperature water for 15-30 minutes. Shake excess water off afterward.,,"Soft, darkened base: 
Plant rotCurled or shriveled leaves:
Low humidity, underwateredNot green when wet:
Dead plant",//cdn.shopify.com/s/files/1/0150/6262/files/air-plant_2048x2048.jpg?v=1602085765
Alocasia,"Thrives in medium to bright indirect light. 

Alocasia can go into a dormancy phase and dieback during fall and winter. Increasing light and humidity can help deter this.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Wilting leaves and stem, dry potting mix: 
 Thirsty plant, underwateredYellowing leaves and mushy blackened base: 
 Root rot, overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/alocasia-polly_2048x2048.jpg?v=1602086523
Aloe,"Thrives in bright direct light, but can tolerate bright indirect light.","Water every 2–3 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",You can extract and use the gel from your Aloe vera at home. We recommend picking a mature bottom leaf to extract the gel from.,"Wrinkled plant: 
UnderwateredBlanched center: 
Not enough sunlightBlackened, mushy base: 
Overwatered, root rot",//cdn.shopify.com/s/files/1/0150/6262/files/aloe-vera_2048x2048.jpg?v=1605552086
Anthurium,"Thrives in bright indirect light, but can tolerate medium indirect light. Avoid direct sun.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",,"Yellowing leaves: 
Too much direct sunlightNew flowers are green instead of red or pink: 
Too much sunlightFlowers are turning pale green:  
Underwatering, or temperature stressLeaf elongation:  
Not enough light, or too far away from the light source",//cdn.shopify.com/s/files/1/0150/6262/files/anthurium_2048x2048.jpg?v=1602088094
Bird’s Nest Fern,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light. Do not water directly into the center of your fern, but instead, water around it.",,"Pale green leaves, dry potting mix: 
Thirsty plant, underwateredYellowing lower leaves, wet potting mix: 
OverwateredNew growth browning:  
Overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/bnf_2048x2048.jpg?v=1602088393
Bird of Paradise,Thrives in bright indirect to direct light.,"Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",,"Splits along sides of leaves: 
Normal adaptive precaution to help plant bear strong winds in its native habitatYellowing lower leaves, wet potting mix: 
OverwateredWilting, curling leaves, dry potting mix: 
Thirsty plant, underwatered",//cdn.shopify.com/s/files/1/0150/6262/files/b-o-p_2048x2048.jpg?v=1602088746
Bromeliad,"Thrives in bright indirect light, but can tolerate a few hours of direct sun.","Water every 1–2 weeks, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.",,"Crispy or curling edges:  
 UnderwateredYellowing leaves, wet potting mix:  
 OverwateredBrowning, stunted growth:  
 Too much hard water, change to filtered water",
Cactus,"Thrives in bright direct light, but can tolerate bright indirect light.","Water every 2–3 weeks in direct light, allowing soil to dry out between waterings. Expect to water more often in brighter light and less often in lower light.","All cacti are succulents, but not all succulents are cacti. Aeroles, surface bumps in which spines grow out of, are what distinguishes cacti from succulents.","Wrinkled, dry potting mix: 
 Thirsty plant, underwateredBlanched center: 
 Needs more sunlightYellowing and mushy leaves, wet potting mix: 
 Root rot, overwatered",//cdn.shopify.com/s/files/1/0150/6262/files/cactus_2048x2048.jpg?v=1603296057
Calathea,"Thrives in medium to bright indirect light, but can tolerate low indirect light.","Water every 1–2 weeks, allowing soil to dry out half way down between waterings. Expect to water more often in brighter light and less often in lower light.",,"Wilting, curling leaves, dry potting mix: 
UnderwateredYellowing leaves, black base: 
OverwateredLeaf spots: 
Fungal inflection or mineral build up from tap water, use distilled water and water directly into surrounding potting soil",//cdn.shopify.com/s/files/1/0150/6262/files/calathea_bfc4fba0-728d-4972-93dd-4249bba08a2c_2048x2048.jpg?v=1602089308
