Product_logo,Product_name,Product_title,Product_subtitle,rating_stars,number_of_ratings,price
https://ga0.imgix.net/logo/o/128971-1578294267-5759056?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,TeleDent,Telemedicine solution for dental practitioners & centers,"Teledent is a telemedicine solution that helps dental practitioners manage patients, consultations, workflows, treatment planning, and more. The live streaming functionality enables users to conduct remote examinations, store medical information and collaborate with patients.",4.71,7,$149
https://ga0.imgix.net/logo/o/90599-1551361743-1669638?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,SAP Litmos,Mobile & Secure Learning Management System (LMS),"Put your training programs on speed dial with a platform that is fun, accessible, simple and transformative.  Start your Litmos LMS FREE trial today! ",4.22,259,$900
https://ga0.imgix.net/logo/o/133043-1588313909-5817592?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Brandlive,Video management and live streaming platform,"Brandlive is a cloud-based video streaming platform designed to help businesses launch products and train employees through live and pre-recorded video content. Features include HD streaming, customizable branding, analytics, audience management, watermarking, and library collections.",4.5,6,
https://ga0.imgix.net/logo/o/91479-1586246731-6745365?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,ON24,THE ONLY WEBINAR PLATFORM BUILT WITH MARKETERS IN MIND,"ON24 provides digital experiences and webcasting for corporate communications and demand generation via a cloud-based SaaS application.

Our industry-leading platform helps organizations to communicate with employees, clients,
prospects and partners with measurable and greater impact.",4.35,211,
https://ga1.imgix.net/logo/o/91746-1587111556-0988996?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Onstream Webinars,Full-featured webcasting solution,"Onstream Webinars is a cloud-based webinar solution designed to help businesses across various industry verticals, such as accounting, education, legal, health sciences, technology, media, and publishers, manage virtual meetings to streamline communication with customers, partners, and prospects.",3.97,36,$49
https://ga0.imgix.net/logo/o/116483-1555003091-0487082?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,StartMeeting,Online meeting and conferencing solution,"StartMeeting is an online meeting and conferencing solution which enables screen sharing, audio & video communication between up to 1000 participants. The platform allows users to connect from their web browser, native mobile apps & desktop apps, and integrates with Slack, Google Calendar & Outlook.",4.83,12,$9.95
https://ga0.imgix.net/logo/o/104035-1603438157-4111695?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,MyOwnConference,Webinar and video conferencing software,"Gather employees from remote offices together and raise efficiency of team work with MyOwnConference. If you are a company CEO, HR manager or develop your own brand, appreciate all advantages online meetings will offer you: efficiency and comfort, simplicity of organization and cost effectiveness.",4.5,20,$12
https://ga1.imgix.net/logo/o/20435-4096048518.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,SugarSync,"Cloud file sharing, sync and backup from any device","SugarSync isn’t merely a back-up solution; you can sync all your files such as Microsoft Office documents and media to all your computers and web-enabled mobile phones, instantly. Store and back-up your files in our secure servers and access them from any web browser, anywhere, anytime.",4.22,45,$4.99
https://ga0.imgix.net/logo/o/110869-1510588013-151066?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Zerto,Virtual replication & recovery solution,"Zerto is a business continuity, virtual replication & disaster recovery solution designed to protect, recover & mobilize apps on virtualized IT environments. ",4.78,23,
https://ga0.imgix.net/logo/o/128003-1574168033-7783198?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format&w=80&h=80,Wallarm WAF,Application security platform for businesses,"Wallarm is a cloud-based application security suite designed to help organizations automate protection and security testing for websites, microservices, and APIs. Key features include perimeter scanning, traffic metrics, password management, threat detection, and pattern analysis.",4.67,6,
