GTIN,Geschlecht,Geeignet für,Brillengröße,Material,Typ,Form,Frontfarbe,Bügelfarbe,Scharniertyp,Gleitsichtfähig,Filter-Kategorie,EAN,Scheibenhöhe,Scheibenbreite,Nasenstegweite,Bügellänge
Privé Revaux The Floridian C90 polarisiert,Unisex,Erwachsene,129 mm / 129,Metall,Vollrand,Pilot,Schwarz/Schwarz,Goldfarben/Goldfarben,Standard Scharnier,Nein,3,0810036102025,48 mm,56 mm,17 mm,140 mm
Privé Revaux The Posh C90 polarisiert,Damen,Erwachsene,133 mm / 133,Metall,Vollrand,Irregular,Schwarz/Schwarz,Schwarz/Schwarz,Standard Scharnier,Nein,3,0818893026607,50 mm,58 mm,17 mm,135 mm
Ray-Ban Justin 0RB4165 601/71,Herren,Erwachsene,124 mm / 124,Kunststoff,Vollrand,Eckig,Schwarz/Schwarz,Mehrfarbig/Mehrfarbig,Standard Scharnier,Nein,3,8053672476194,44 mm,54 mm,16 mm,145 mm
Privé Revaux The Floridian C10 polarisiert,Unisex,Erwachsene,129 mm / 129,Metall,Vollrand,Pilot,Havana/Havana,Goldfarben/Goldfarben,Standard Scharnier,Nein,3,0810036102032,48 mm,56 mm,17 mm,140 mm
Privé Revaux The Posh C50 polarisiert,Damen,Erwachsene,133 mm / 133,Metall,Vollrand,Irregular,Goldfarben/Goldfarben,Goldfarben/Goldfarben,Standard Scharnier,Nein,3,0818893026591,50 mm,58 mm,17 mm,135 mm
Privé Revaux The Candy C50 polarisiert,Unisex,Erwachsene,123 mm / 123,Metall,Vollrand,Rund Oval,Goldfarben/Goldfarben,Goldfarben/Goldfarben,Standard Scharnier,Ja,3,0810036101929,38 mm,52 mm,19 mm,145 mm
Privé Revaux The Maestro C10 polarisiert,Unisex,Erwachsene,117 mm / 117,Kunststoff,Vollrand,Rund,Braun/Havana,Havana/Havana,Standard Flexscharnier,Nein,3,0810036102254,42 mm,49 mm,19 mm,145 mm
Privé Revaux The Matrix C90 polarisiert,Unisex,Erwachsene,123 mm / 123,Metall,Vollrand,Rechteckig,Schwarz/Schwarz,Schwarz/Schwarz,Standard Scharnier,Nein,3,0818893024009,33 mm,53 mm,17 mm,140 mm
Privé Revaux The Maestro C12 polarisiert,Unisex,Erwachsene,117 mm / 117,Kunststoff,Vollrand,Rund,Braun/Braun,Braun/Braun,Standard Flexscharnier,Nein,3,0810036102216,42 mm,49 mm,19 mm,145 mm
Privé Revaux The Commando C53 polarisiert,Unisex,Erwachsene,137 mm / 137,Metall,Vollrand,Pilot,Goldfarben/Rosa,Goldfarben/Schwarz,Integriertes Flexscharnier,Nein,3,Ja,0810036101936,51 mm,61 mm,15 mm
Privé Revaux The Celeste C90,Damen,Erwachsene,126 mm / 126,Kunststoff,Vollrand,Schmetterling / Cat-Eye,Schwarz/Schwarz,Schwarz/Schwarz,Standard Scharnier,Nein,3,0810025630737,47 mm,53 mm,20 mm,145 mm
Privé Revaux The Hepburn 2.0 C80 polarisiert,Damen,Erwachsene,132 mm / 132,Kunststoff,Vollrand,Schmetterling / Cat-Eye,Havana/Lila,Havana/Lila,Standard Scharnier,Nein,3,0810036102124,46 mm,58 mm,16 mm,145 mm
Privé Revaux The Celeste C110,Damen,Erwachsene,126 mm / 126,Kunststoff,Vollrand,Schmetterling / Cat-Eye,Orange/Orange,Orange/Transparent,Standard Scharnier,Nein,3,0810025630744,47 mm,53 mm,20 mm,145 mm
Privé Revaux The Headliner C90 polarisiert,Unisex,Erwachsene,122 mm / 122,Metall,Vollrand,Rund Oval,Schwarz/Silberfarben,Schwarz/Schwarz,Standard Scharnier,Ja,3,0810036102100,40 mm,51 mm,20 mm,145 mm
Privé Revaux The Headliner C10 polarisiert,Unisex,Erwachsene,122 mm / 122,Metall,Vollrand,Rund Oval,Goldfarben/Havana,Havana/Havana,Standard Scharnier,Nein,3,0810036102117,40 mm,51 mm,20 mm,145 mm
Privé Revaux The Victoria C90 polarisiert,Damen,Erwachsene,130 mm / 130,Kunststoff,Vollrand,Schmetterling / Cat-Eye,Schwarz/Schwarz,Schwarz/Schwarz,Standard Scharnier,Nein,3,0818893024382,45 mm,55 mm,20 mm,148 mm
Privé Revaux The Cali C50 polarisiert,Unisex,Erwachsene,132 mm / 132,Metall,Vollrand,Pilot,Goldfarben/Goldfarben,Goldfarben/Goldfarben,Standard Scharnier,Ja,3,0810036101905,51 mm,59 mm,14 mm,138 mm
Privé Revaux The Harlow C90 polarisiert,Damen,Erwachsene,132 mm / 132,Kunststoff,Vollrand,Panto,Schwarz/Schwarz,Schwarz/Schwarz,Standard Scharnier,Ja,3,0818893027710,49 mm,57 mm,18 mm,140 mm
Privé Revaux The Dean C10 polarisiert,Unisex,Erwachsene,123 mm / 123,Kunststoff,Vollrand,Panto,Havana/Havana,Havana/Havana,Standard Scharnier,Nein,3,0818893026409,42 mm,52 mm,19 mm,145 mm
Ray-Ban 0RB3546 900985,Unisex,Erwachsene,124 mm / 124,Metall,Vollrand,Panto,Braun/Goldfarben,Goldfarben/Braun,Standard Scharnier,Nein,3,8053672672367,49 mm,52 mm,20 mm,145 mm
Ray-Ban 0RB3447 001,Herren,Erwachsene,127 mm / 127,Metall,Vollrand,Panto,Goldfarben/Goldfarben,Mehrfarbig/Mehrfarbig,Standard Scharnier,Nein,3,8053672666878,50 mm,53 mm,21 mm,145 mm
Ray-Ban 0RB3447N 001/3F,Herren,Erwachsene,127 mm / 127,Metall,Vollrand,Rund,Goldfarben/Goldfarben,Goldfarben/Transparent,Standard Scharnier,Nein,2,8053672882216,50 mm,53 mm,21 mm,145 mm
Oakley LATCH BETA OO9436 943603,Herren,Erwachsene,126 mm / 126,Kunststoff,Vollrand,Panto,Transparent/Transparent,Transparent/Transparent,Standard Scharnier,Nein,3,0888392376992,45 mm,54 mm,18 mm,140 mm
Ray-Ban Hexagonal 0RB3548N 912443,Herren,Erwachsene,123 mm / 123,Metall,Vollrand,Hexagonal,Goldfarben/Goldfarben,Goldfarben/Transparent,Standard Scharnier,Nein,3,8056597077378,45 mm,51 mm,21 mm,145 mm
Ray-Ban Erika 0RB4171 6316E8,Unisex,Erwachsene,126 mm / 126,Kunststoff,Vollrand,Panto,Bronzefarben/Bronzefarben,Silberfarben/Schwarz,Standard Scharnier,Nein,3,8053672793659,46 mm,54 mm,18 mm,145 mm
Ray-Ban 0RB3689 914731,Unisex,Erwachsene,124 mm / 124,Metall,Vollrand,Pilot,Goldfarben/Goldfarben,Mehrfarbig/Mehrfarbig,Standard Scharnier,Nein,3,8056597039475,48 mm,55 mm,14 mm,140 mm
